genero,eleitores
feminino,1
masculino,1
feminino,1
feminino,1
masculino,1
feminino,2
masculino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,10
masculino,17
masculino,1
feminino,4
feminino,1
feminino,1
masculino,1
masculino,8
masculino,1
masculino,1
masculino,2
feminino,5
masculino,1
feminino,6
masculino,2
masculino,1
masculino,12
feminino,1
feminino,4
feminino,2
feminino,2
feminino,1
feminino,1
masculino,1
masculino,2
feminino,1
feminino,4
feminino,1
feminino,2
masculino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,4
feminino,1
masculino,1
masculino,1
feminino,15
masculino,5
masculino,1
feminino,1
feminino,1
feminino,1
feminino,2
masculino,1
masculino,1
feminino,5
feminino,2
feminino,1
feminino,2
masculino,1
feminino,2
masculino,1
masculino,1
feminino,3
feminino,2
feminino,1
feminino,1
feminino,1
feminino,4
feminino,2
feminino,1
feminino,7
feminino,1
masculino,1
feminino,1
feminino,2
feminino,1
feminino,3
feminino,3
feminino,1
feminino,2
feminino,8
feminino,22
feminino,1
masculino,1
feminino,1
masculino,1
feminino,5
feminino,1
feminino,3
feminino,1
feminino,1
feminino,1
feminino,3
masculino,1
feminino,1
masculino,1
masculino,3
masculino,3
masculino,6
feminino,1
feminino,1
masculino,1
feminino,1
feminino,17
feminino,4
feminino,1
feminino,2
feminino,1
feminino,1
feminino,1
masculino,1
masculino,4
feminino,1
feminino,2
masculino,14
masculino,5
feminino,1
masculino,1
masculino,1
masculino,1
feminino,2
masculino,1
feminino,3
feminino,1
feminino,4
masculino,1
masculino,1
masculino,2
masculino,6
feminino,6
feminino,5
feminino,1
feminino,1
feminino,3
feminino,1
masculino,1
feminino,1
feminino,1
feminino,10
feminino,2
feminino,1
feminino,1
feminino,1
feminino,1
masculino,1
masculino,1
feminino,1
masculino,2
masculino,1
masculino,2
masculino,1
masculino,1
masculino,2
feminino,1
masculino,1
masculino,1
masculino,1
masculino,1
feminino,11
feminino,8
feminino,3
feminino,2
masculino,3
feminino,3
feminino,10
feminino,1
feminino,1
feminino,1
feminino,3
feminino,1
masculino,9
feminino,2
feminino,1
feminino,1
masculino,1
masculino,1
masculino,1
feminino,1
masculino,1
feminino,3
feminino,3
feminino,1
masculino,2
feminino,1
masculino,1
masculino,3
masculino,1
masculino,1
masculino,1
masculino,9
masculino,1
masculino,34
feminino,19
feminino,1
feminino,1
feminino,1
masculino,2
feminino,1
masculino,2
feminino,1
feminino,1
feminino,2
masculino,1
masculino,12
masculino,2
masculino,1
feminino,1
feminino,2
feminino,1
feminino,2
masculino,2
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,3
masculino,2
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
masculino,6
masculino,1
masculino,3
masculino,1
masculino,3
feminino,3
feminino,2
feminino,1
feminino,1
masculino,3
masculino,1
feminino,27
masculino,3
feminino,1
feminino,2
feminino,1
masculino,1
feminino,6
feminino,1
feminino,1
feminino,1
feminino,3
masculino,1
feminino,1
masculino,1
feminino,5
feminino,1
feminino,1
masculino,1
masculino,1
masculino,2
feminino,3
feminino,1
feminino,1
masculino,1
masculino,1
feminino,22
feminino,1
feminino,1
masculino,1
masculino,4
feminino,2
feminino,2
feminino,5
feminino,2
feminino,1
feminino,9
feminino,4
feminino,4
feminino,7
feminino,1
feminino,2
masculino,1
masculino,1
masculino,1
masculino,1
masculino,2
masculino,2
masculino,2
masculino,1
masculino,3
masculino,1
masculino,1
masculino,1
masculino,1
masculino,3
masculino,2
masculino,1
masculino,2
masculino,1
masculino,1
feminino,2
feminino,5
feminino,1
feminino,2
feminino,1
masculino,21
feminino,1
feminino,1
masculino,5
masculino,1
masculino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,1
masculino,3
feminino,1
masculino,1
feminino,1
masculino,1
masculino,3
feminino,3
masculino,1
masculino,1
feminino,1
feminino,1
masculino,1
feminino,16
feminino,1
feminino,6
feminino,6
feminino,2
masculino,1
masculino,1
